time_label,t_idx,state_x,rl_control,theoretical
t=0,0,-0.750000,-0.250000,0.982179
t=0,0,-0.500000,-0.250000,0.654786
t=0,0,-0.250000,0.000000,0.327393
t=0,0,0.000000,0.000000,-0.000000
t=0,0,0.250000,-0.250000,-0.327393
t=0,0,0.500000,-0.250000,-0.654786
t=0,0,0.750000,-0.250000,-0.982179
t=0,0,1.000000,-0.250000,-1.309572
t=0,0,1.250000,-0.250000,-1.636964
t=0,0,1.500000,-0.250000,-1.964357
t=0,0,1.750000,-0.250000,-2.291750
t=0,0,2.000000,-0.250000,-2.619143
t=0,0,2.250000,-0.250000,-2.946536
t=0,0,2.500000,-0.250000,-3.273929
t=0,0,2.750000,-0.250000,-3.601322
t=0,0,3.000000,-0.250000,-3.928715
t=0,0,3.250000,-0.250000,-4.256108
t=0,0,3.500000,-0.250000,-4.583500
t=0,0,3.750000,1.250000,-4.910893
t=7/16,7,-0.750000,-0.250000,0.659627
t=7/16,7,-0.500000,-0.250000,0.388758
t=7/16,7,-0.250000,-0.250000,0.117890
t=7/16,7,0.000000,-0.250000,-0.152979
t=7/16,7,0.250000,-0.250000,-0.423848
t=7/16,7,0.500000,-0.250000,-0.694717
t=7/16,7,0.750000,-0.250000,-0.965586
t=7/16,7,1.000000,-0.250000,-1.236455
t=7/16,7,1.250000,-0.250000,-1.507324
t=7/16,7,1.500000,-0.250000,-1.778193
t=7/16,7,1.750000,-0.250000,-2.049062
t=7/16,7,2.000000,-0.250000,-2.319931
t=7/16,7,2.250000,-0.250000,-2.590800
t=7/16,7,2.500000,-0.250000,-2.861669
t=7/16,7,2.750000,-0.250000,-3.132538
t=7/16,7,3.000000,-0.250000,-3.403407
t=7/16,7,3.250000,-0.250000,-3.674276
t=7/16,7,3.500000,-0.250000,-3.945145
t=7/16,7,3.750000,0.000000,-4.216014
t=15/16,15,-0.750000,-0.250000,0.299504
t=15/16,15,-0.500000,-0.250000,0.195285
t=15/16,15,-0.250000,-0.250000,0.091065
t=15/16,15,0.000000,-0.250000,-0.013155
t=15/16,15,0.250000,-0.250000,-0.117375
t=15/16,15,0.500000,-0.250000,-0.221595
t=15/16,15,0.750000,-0.250000,-0.325815
t=15/16,15,1.000000,-0.250000,-0.430034
t=15/16,15,1.250000,-0.250000,-0.534254
t=15/16,15,1.500000,-0.250000,-0.638474
t=15/16,15,1.750000,-0.250000,-0.742694
t=15/16,15,2.000000,-0.250000,-0.846914
t=15/16,15,2.250000,-0.250000,-0.951133
t=15/16,15,2.500000,-0.250000,-1.055353
t=15/16,15,2.750000,-0.250000,-1.159573
t=15/16,15,3.000000,-0.250000,-1.263793
t=15/16,15,3.250000,-0.250000,-1.368013
t=15/16,15,3.500000,-0.250000,-1.472233
t=15/16,15,3.750000,4.250000,-1.576452
